date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:34	94/94	---M-Z	200	added ('OK')	text/plain	etag:%2264-5f5e6e55d59b7-gzip%22	https://grabify.link/robots.txt		(from )
20:34:35	22456/22456	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Sep%202023%2023:34:36%20GMT	https://grabify.link/	C:/My%20Web%20Sites/https___grabify.link/grabify.link/index.html	(from )
20:34:35	8488/8488	---M--	200	added ('OK')	image/png	etag:%222128-5f5e6e55d3a77%22	https://grabify.link/images/200.png	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/200.png	(from https://grabify.link/)
20:34:35	1611/1611	---M--	200	added ('OK')	image/png	etag:%2264b-5f5e6e55d4a17%22	https://grabify.link/images/favicon.png	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/favicon.png	(from https://grabify.link/)
20:34:35	2678/2678	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a76-5f5e6e55d4a17%22	https://grabify.link/images/favicon.svg	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/favicon.svg	(from https://grabify.link/)
20:34:35	22382/22382	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22576e-5f5e6e55d4a17%22	https://grabify.link/images/favicon/favicon.ico	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/favicon/favicon.ico	(from https://grabify.link/)
20:34:38	11419/11419	---M--	200	added ('OK')	image/png	etag:%222c9b-5f5e6e55d4a17%22	https://grabify.link/images/favicon/favicon-192.png	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/favicon/favicon-192.png	(from https://grabify.link/)
20:34:38	9443/9443	---M--	200	added ('OK')	image/png	etag:%2224e3-5f5e6e55d4a17%22	https://grabify.link/images/favicon/favicon-160.png	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/favicon/favicon-160.png	(from https://grabify.link/)
20:34:43	5709/5709	---M--	200	added ('OK')	image/png	etag:%22164d-5f5e6e55d4a17%22	https://grabify.link/images/favicon/favicon-96.png	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/favicon/favicon-96.png	(from https://grabify.link/)
20:34:46	3856/3856	---M--	200	added ('OK')	image/png	etag:%22f10-5f5e6e55d4a17%22	https://grabify.link/images/favicon/favicon-64.png	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/favicon/favicon-64.png	(from https://grabify.link/)
20:34:48	1726/1726	---M--	200	added ('OK')	image/png	etag:%226be-5f5e6e55d4a17%22	https://grabify.link/images/favicon/favicon-32.png	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/favicon/favicon-32.png	(from https://grabify.link/)
20:34:49	1002/1002	---M--	200	added ('OK')	image/png	etag:%223ea-5f5e6e55d4a17%22	https://grabify.link/images/favicon/favicon-16.png	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/favicon/favicon-16.png	(from https://grabify.link/)
20:34:50	3548/3548	---M--	200	added ('OK')	image/png	etag:%22ddc-5f5e6e55d4a17%22	https://grabify.link/images/favicon/favicon-57.png	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/favicon/favicon-57.png	(from https://grabify.link/)
20:34:51	6715/6715	---M--	200	added ('OK')	image/png	etag:%221a3b-5f5e6e55d4a17%22	https://grabify.link/images/favicon/favicon-114.png	C:/My%20Web%20Sites/https___grabify.link/grabify.link/images/favicon/favicon-114.png	(from https://grabify.link/)
